,new_confirmed_cases,new_deaths,new_recoveries,date,currently_infected,delta
0,555,0,0,01/22/2020,555,0
1,98,0,0,01/23/2020,653,0
2,288,26,36,01/24/2020,879,-62
3,1078,30,13,01/25/2020,1914,-105
4,775,24,5,01/26/2020,2660,-134
5,1679,27,9,01/27/2020,4303,-170
6,1584,25,47,01/28/2020,5815,-242
7,1726,38,23,01/29/2020,7480,-303
8,1993,43,54,01/30/2020,9376,-400
9,150,0,35,01/31/2020,9491,-435
10,4623,92,118,02/01/2020,13904,-645
11,2746,57,147,02/02/2020,16446,-849
12,3293,64,157,02/03/2020,19518,-1070
13,3915,66,255,02/04/2020,23112,-1391
14,127,2,130,02/05/2020,23107,-1523
15,6247,142,470,02/06/2020,28742,-2135
