,new_confirmed_cases,new_deaths,new_recoveries,date,confirmed_MA,deaths_MA,recovered_MA,confirmed_exp_MA,deaths_moving_exp_MA,recovered_moving_exp_MA,currently_infected,delta
0,555,17,28,2020-01-22,nan,nan,nan,555.0,17.0,28.0,510,-45
1,98,1,2,2020-01-23,326.5,9.0,15.0,212.24999999999997,5.0,8.5,605,-48
2,288,8,6,2020-01-24,193.0,4.5,4.0,264.6923076923077,7.076923076923077,6.769230769230769,879,-62
3,497,16,3,2020-01-25,392.5,12.0,4.5,421.49999999999994,13.1,4.225,1357,-81
4,680,14,13,2020-01-26,588.5,15.0,8.0,594.5454545454545,13.702479338842975,10.099173553719009,2010,-108
5,809,26,9,2020-01-27,744.5,20.0,11.0,737.7115384615385,21.91208791208791,9.365384615384615,2784,-143
6,2651,49,46,2020-01-28,1730.0,37.5,27.5,2013.8206770356815,39.978956999085085,33.7996340347667,5340,-238
7,587,2,19,2020-01-29,1619.0,25.5,32.5,1062.4618902439024,14.655792682926831,23.931707317073172,5906,-259
8,2070,38,17,2020-01-30,1328.5,20.0,18.0,1734.188090641195,30.219388273549438,19.31033431561833,7921,-314
9,1690,42,79,2020-01-31,1880.0,40.0,48.0,1704.728864652486,38.07326243056496,59.10411868310526,9490,-435
10,2027,46,55,2020-02-01,1858.5,44.0,67.0,1919.5775010443365,43.35778397480045,56.368024115701175,11416,-536
11,4733,103,186,2020-02-02,3380.0,74.5,120.5,3795.196029655276,83.11933614330874,142.78950398916152,15860,-825
12,3034,63,152,2020-02-03,3883.5,83.0,169.0,3287.731691590532,69.70643696819087,148.9298385144281,18679,-1040
13,4102,66,234,2020-02-04,3568.0,64.5,193.0,3830.577344025718,67.23547847278091,205.64329136218348,22481,-1340
14,3636,72,265,2020-02-05,3869.0,69.0,249.5,3700.859105634953,70.41182637895879,245.21443321184208,25780,-1677
15,3169,70,362,2020-02-06,3402.5,71.0,313.5,3346.286360308056,70.13727545327495,323.0714795459445,28517,-2109
16,3638,86,522,2020-02-07,3403.5,78.0,442.0,3540.762121608613,80.71242523298058,455.6904942089201,31547,-2717
17,2651,86,610,2020-02-08,3144.5,86.0,566.0,2947.5873723384498,84.23747508675896,558.5634983351732,33502,-3413
18,3082,100,617,2020-02-09,2866.5,93.0,613.5,3037.1957908565814,94.74582503796094,597.5211661452432,35867,-4130
19,2490,107,675,2020-02-10,2786.0,103.5,646.0,2672.398596847571,102.91527501499662,649.1737220632282,37575,-4912
20,2014,100,770,2020-02-11,2252.0,103.5,722.5,2233.466198907229,100.97175833814642,729.7245740287767,38719,-5782
21,576,6,454,2020-02-12,1295.0,53.0,612.0,1128.4887329338649,37.65725277736454,545.908191337068,38835,-6242
22,15001,252,1147,2020-02-13,7788.5,129.0,800.5,10376.829577742858,180.55241759397268,946.6360637832792,52437,-7641
23,6494,150,1680,2020-02-14,10747.5,201.0,1413.5,7788.276525905119,160.18413919791877,1435.5453545961573,57101,-9471
24,2264,144,1399,2020-02-15,4379.0,147.0,1539.5,4105.425508630693,149.3947130659602,1411.181784865357,57822,-11014
25,2181,104,1428,2020-02-16,2222.5,124.0,1413.5,2822.47516954306,119.13157102197482,1422.3939282884567,58471,-12546
26,2080,98,1731,2020-02-17,2130.5,101.0,1579.5,2327.4917231809554,105.0438570073231,1628.1313094295126,58722,-14375
